producto,marca,formato,cantidad,precio,supermercado
Espinacas,Vegecampo de Dia,Bolsa,300 g,"1,29 €",Dia
Surtido vegetal,Marca Día,Bandeja,1 Kg .,"1,99 €",Dia
Canónigos,Vegecampo de Dia,Bolsa,100 g,"1,19 €",Dia
Ensalada,Vegecampo de Dia,Bolsa,   250 g,"0,79 €",Dia
Ensalada gourmet,Vegecampo de Dia,Bolsa,175 g,"1,09 €",Dia
Lechuga iceberg lavada,Vegecampo de Dia,Bolsa,250 g,"0,89 €",Dia
Verduras para microondas,Vegecampo de Dia,Bolsa,    300 g,"1,69 €",Dia
Dúo canónigos y rúcula,Vegecampo de Dia,Bolsa,100 g,"1,39 €",Dia
Ensalada selección de brotes,Vegecampo de Dia,Bolsa,100 g,"1,19 €",Dia
Ensalada César,Al Punto Dia,Bandeja,210 g,"2,79 €",Dia
Ensalada variada,Vegecampo de Dia,Bolsa,200 g,"0,99 €",Dia
Rúcula,Vegecampo de Dia,Bolsa,50 g,"0,79 €",Dia
Brotes de espinaca baby,Vegecampo de Dia,Bolsa,100 g,"1,19 €",Dia
Maíz dulce cocido al vacío,Marca Día,Bolsa,400 g,"1,49 €",Dia
Tomate rallado natural,La gergaleña,Tarrina,200 g,"1,39 €",Dia
Acelga,Vegecampo de Dia,Bolsa,300 g,"1,39 €",Dia
Ensalada huerta,Al Punto Dia,Bandeja,400 g,"2,29 €",Dia
Pimientos asados a la leña,Marca Día,Bandeja,350 g,"2,69 €",Dia
Pimientos rojos y verdes asados,Huerta Camporico,Bandeja,350 g,"2,69 €",Dia
Remolacha cocida al vacío,Marca Día,Bandeja,500 g,"0,99 €",Dia
Ensalada wrap texas,Al Punto Dia,Bandeja,300 g,"2,99 €",Dia
Tomate rallado natural,Bonnysa,Tarrina,200 g,"1,34 €",Dia
Ensalada brooklyn con bacon,Al Punto Dia,Bandeja,200 g,"2,79 €",Dia
"Ensalada de pasta, huevo y atún",Al Punto Dia,Tarrina,250 g,"2,79 €",Dia
Ensalada mezclum,Vegecampo de Dia,Bolsa,150 g,"1,09 €",Dia
