producto,marca,formato,cantidad,precio,supermercado
Sidra asturiana,El Mayu,Botella,750 ml,"1,60 €",Mercadona
Sidra asturiana,El Mayu,Pack,12 botellines x 250 ml,"10,80 €",Mercadona
Sidra asturiana,El Mayu,Botellín,250 ml,"0,90 €",Mercadona
Sidra natural,Polían,Botella,700 ml,"1,95 €",Mercadona
Cava brut,Cabré & Sabaté,Botella,750 ml,"2,95 €",Mercadona
Cava brut,Cabré & Sabaté,Benjamín,200 ml,"1,65 €",Mercadona
Cava brut nature,Jaume Serra,Botella,750 ml,"4,25 €",Mercadona
Cava brut,Anna Codorníu,Botella,750 ml,"9,35 €",Mercadona
Cava brut nature reserva vintage,Cabré & Sabaté,Botella,750 ml,"4,45 €",Mercadona
Cava semi seco,Cabré & Sabaté,Botella,750 ml,"2,95 €",Mercadona
Cava semi seco,Cabré & Sabaté,Benjamín,200 ml,"1,55 €",Mercadona
Cava semi seco,Freixenet,Botella,750 ml,"6,95 €",Mercadona
